,state,month,year,n
865,OH,1,2021,3
866,OH,2,2018,3
867,OH,2,2019,3
868,OH,4,2022,3
869,OH,6,2015,3
870,OH,6,2016,3
871,OH,6,2019,3
872,OH,7,2015,3
873,OH,7,2019,3
874,OH,10,2017,3
875,OH,12,2018,3
876,OK,1,2015,3
877,OK,1,2017,3
878,OK,1,2019,3
879,OK,2,2020,3
880,OK,2,2021,3
881,OK,3,2019,3
882,OK,4,2018,3
883,OK,6,2016,3
884,OK,6,2021,3
885,OK,7,2015,3
886,OK,8,2020,3
887,OK,10,2015,3
888,OK,11,2016,3
889,OK,11,2018,3
890,OK,11,2019,3
891,OK,12,2016,3
892,OR,1,2018,3
893,OR,1,2021,3
894,OR,2,2022,3
895,OR,3,2015,3
896,OR,3,2019,3
897,OR,4,2020,3
898,OR,4,2021,3
899,OR,6,2018,3
900,OR,7,2015,3
901,OR,7,2022,3
902,OR,12,2020,3
903,PA,1,2016,3
904,PA,1,2017,3
905,PA,2,2015,3
906,PA,5,2017,3
907,PA,7,2021,3
908,PA,8,2015,3
909,PA,8,2017,3
910,PA,10,2020,3
911,PA,12,2015,3
912,PA,12,2018,3
913,PA,12,2019,3
914,SC,4,2020,3
915,SC,4,2022,3
916,SC,5,2015,3
917,SC,6,2021,3
918,SC,7,2015,3
919,SC,7,2022,3
920,SC,10,2021,3
921,SD,2,2016,3
922,SD,3,2022,3
923,SD,9,2015,3
924,TN,1,2017,3
925,TN,1,2019,3
926,TN,1,2022,3
927,TN,2,2015,3
928,TN,2,2017,3
929,TN,2,2022,3
930,TN,3,2018,3
931,TN,3,2022,3
932,TN,5,2017,3
933,TN,6,2017,3
934,TN,6,2021,3
935,TN,6,2022,3
936,TN,7,2015,3
937,TN,7,2018,3
938,TN,8,2015,3
939,TN,8,2016,3
940,TN,9,2017,3
941,TN,11,2018,3
942,TN,12,2015,3
943,TN,12,2017,3
944,TN,12,2019,3
945,TN,12,2020,3
946,TX,7,2016,3
947,TX,8,2017,3
948,TX,8,2018,3
949,TX,11,2017,3
950,TX,11,2018,3
951,TX,12,2018,3
952,UT,1,2015,3
953,UT,2,2017,3
954,UT,4,2018,3
955,UT,6,2021,3
956,UT,7,2019,3
957,UT,8,2019,3
958,UT,10,2020,3
959,VA,1,2017,3
960,VA,3,2018,3
961,VA,3,2021,3
962,VA,3,2022,3
963,VA,4,2015,3
964,VA,5,2017,3
965,VA,5,2018,3
966,VA,5,2021,3
967,VA,7,2022,3
968,VA,8,2015,3
969,VA,8,2018,3
970,VA,10,2017,3
971,VA,11,2017,3
972,VA,12,2017,3
973,WA,1,2017,3
974,WA,1,2018,3
975,WA,2,2019,3
976,WA,2,2021,3
977,WA,3,2017,3
978,WA,4,2020,3
979,WA,5,2015,3
980,WA,6,2019,3
981,WA,6,2022,3
982,WA,8,2016,3
983,WA,8,2017,3
984,WA,9,2019,3
985,WA,10,2017,3
986,WA,10,2020,3
987,WA,12,2016,3
988,WA,12,2019,3
989,WI,1,2018,3
990,WI,2,2020,3
991,WI,3,2017,3
992,WI,5,2019,3
993,WI,5,2020,3
994,WI,6,2016,3
995,WI,7,2017,3
996,WI,7,2020,3
997,WI,8,2016,3
998,WI,8,2017,3
999,WI,8,2021,3
1000,WV,2,2018,3
1001,WV,2,2019,3
1002,WV,4,2022,3
1003,WV,10,2020,3
1004,WY,7,2015,3
1005,AK,2,2016,2
1006,AK,3,2019,2
1007,AK,3,2020,2
1008,AK,3,2021,2
1009,AK,8,2021,2
1010,AK,9,2015,2
1011,AK,12,2017,2
1012,AL,1,2019,2
1013,AL,1,2022,2
1014,AL,2,2016,2
1015,AL,2,2018,2
1016,AL,3,2020,2
1017,AL,3,2021,2
1018,AL,4,2016,2
1019,AL,4,2020,2
1020,AL,5,2017,2
1021,AL,6,2017,2
1022,AL,7,2016,2
1023,AL,7,2017,2
1024,AL,7,2019,2
1025,AL,8,2015,2
1026,AL,8,2019,2
1027,AL,9,2015,2
1028,AL,9,2017,2
1029,AL,9,2018,2
1030,AL,10,2020,2
1031,AL,12,2016,2
1032,AL,12,2019,2
1033,AR,1,2015,2
1034,AR,1,2019,2
1035,AR,1,2021,2
1036,AR,2,2016,2
1037,AR,2,2022,2
1038,AR,3,2017,2
1039,AR,3,2020,2
1040,AR,3,2022,2
1041,AR,4,2016,2
1042,AR,4,2017,2
1043,AR,4,2018,2
1044,AR,4,2019,2
1045,AR,5,2018,2
1046,AR,5,2022,2
1047,AR,6,2022,2
1048,AR,7,2018,2
1049,AR,7,2019,2
1050,AR,8,2017,2
1051,AR,10,2019,2
1052,AR,10,2021,2
1053,AR,11,2017,2
1054,AR,12,2017,2
1055,AZ,1,2017,2
1056,AZ,1,2018,2
1057,AZ,2,2017,2
1058,AZ,3,2021,2
1059,AZ,4,2016,2
1060,AZ,5,2020,2
1061,AZ,6,2021,2
1062,AZ,8,2021,2
1063,AZ,8,2022,2
1064,AZ,9,2015,2
1065,AZ,9,2020,2
1066,AZ,9,2021,2
1067,AZ,10,2016,2
1068,AZ,11,2015,2
1069,AZ,12,2017,2
1070,CO,1,2016,2
1071,CO,1,2022,2
1072,CO,3,2015,2
1073,CO,3,2017,2
1074,CO,3,2019,2
1075,CO,3,2021,2
1076,CO,3,2022,2
1077,CO,5,2015,2
1078,CO,5,2017,2
1079,CO,6,2015,2
1080,CO,6,2019,2
1081,CO,8,2017,2
1082,CO,9,2015,2
1083,CO,9,2017,2
1084,CO,9,2018,2
1085,CO,9,2019,2
1086,CO,10,2016,2
1087,CO,10,2018,2
1088,CO,10,2020,2
1089,CO,10,2021,2
1090,CO,11,2017,2
1091,CO,11,2021,2
1092,CO,12,2018,2
1093,CO,12,2020,2
1094,DC,4,2021,2
1095,DC,4,2022,2
1096,DC,8,2021,2
1097,DC,11,2015,2
1098,DE,4,2017,2
1099,DE,12,2017,2
1100,FL,1,2017,2
1101,FL,1,2021,2
1102,FL,2,2019,2
1103,FL,5,2021,2
1104,FL,8,2019,2
1105,FL,9,2021,2
1106,FL,11,2017,2
1107,FL,12,2017,2
1108,GA,2,2016,2
1109,GA,2,2017,2
1110,GA,2,2019,2
1111,GA,2,2021,2
1112,GA,2,2022,2
1113,GA,3,2020,2
1114,GA,4,2015,2
1115,GA,4,2016,2
1116,GA,4,2017,2
1117,GA,4,2019,2
1118,GA,4,2021,2
1119,GA,5,2016,2
1120,GA,5,2017,2
1121,GA,5,2019,2
1122,GA,6,2020,2
1123,GA,7,2017,2
1124,GA,8,2018,2
1125,GA,8,2022,2
1126,GA,9,2016,2
1127,GA,9,2022,2
1128,GA,10,2016,2
1129,GA,10,2017,2
1130,GA,10,2020,2
1131,GA,10,2021,2
1132,GA,11,2017,2
1133,GA,11,2020,2
1134,GA,12,2016,2
1135,HI,2,2016,2
1136,HI,2,2019,2
1137,HI,4,2021,2
1138,HI,6,2016,2
1139,HI,6,2018,2
1140,HI,6,2021,2
1141,HI,7,2018,2
1142,HI,8,2021,2
1143,HI,9,2018,2
1144,HI,10,2018,2
